"","In113Di","In115Di","Xe134Di","Pr141Di","Nd142Di","Nd143Di","Nd144Di","Nd145Di","Nd146Di","Sm147Di","Nd148Di","Sm149Di","Nd150Di","Eu151Di","Sm152Di","Eu153Di","Sm154Di","Gd155Di","Gd156Di","Gd158Di","Tb159Di","Gd160Di","Dy161Di","Dy162Di","Dy163Di","Dy164Di","Ho165Di","Er166Di","Er167Di","Er168Di","Tm169Di","Er170Di","Yb171Di","Yb172Di","Yb173Di","Yb174Di","Lu175Di","Yb176Di","Ir191Di","Ir193Di"
"Dy161Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255089852363711,1,0.0331896586829653,0.0104504780611937,0.00668710492039368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dy162Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000668843583268372,0.0156598627247933,1,0.0512402993955722,0.00964870944078737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dy163Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000315578829084571,0.00379630878756537,0.0129204511077185,1,0.0226120396813527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dy164Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000517983149116589,0.00500265325983908,0.00837556583029826,0.0285137519481669,1,0.00592799725376892,0,0,0,0,0,0,0,0,0,0,0,0,0
"Er166Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051047712726694,0.000814675954961683,1,0.0207363790697765,0.00458886041949933,0,0.00102381266952698,0,0,0,0,0,0,0,0
"Er167Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096817614023675,1,0.0312171375231884,0,0,0,0,0,0,0,0,0,0
"Er168Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00313735724457203,0.00681695228787826,1,0.00674614770498152,0.00355931940768728,0,0,0,0,0,0,0,0
"Er170Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000329368857008361,0,0.00682535348296134,0.00564810418804994,0.0103074017786344,0.00140111300060204,1,0.00964494136998922,0,0,0,0,0,0,0
"Eu151Di",0,0,0,0,0,0,0,0,0,0,0,0,0.000854836085357129,1,0.00508198149134227,0.00947643317172773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eu153Di",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727686401724856,0.00116812765165682,1,0.00416135408786682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
